1573565222.172,-5.111840e-04,-1.202632e-02,9.900000e+37
1573565223.353,-5.070110e-04,-2.005111e-02,9.900000e+37
1573565224.505,-4.938980e-04,-2.783128e-02,9.900000e+37
1573565225.659,-4.943750e-04,-3.552570e-02,9.900000e+37
1573565226.869,-5.068920e-04,-4.273715e-02,9.900000e+37
1573565228.029,-5.101110e-04,-5.047075e-02,9.900000e+37
1573565229.189,-4.983090e-04,-5.808926e-02,9.900000e+37
1573565230.349,-4.915140e-04,-6.558692e-02,9.900000e+37
1573565231.509,-4.973550e-04,-7.301152e-02,9.900000e+37
1573565232.669,-5.099920e-04,-8.020742e-02,9.900000e+37
1573565233.819,-5.084420e-04,-8.747931e-02,9.900000e+37
